,open,close,high,close,volume
2017-04-05,16.20,15.95,16.20,15.80,928449
2017-04-06,16.10,15.90,16.10,15.80,336983
2017-04-07,15.90,15.80,15.95,15.65,401009
2017-04-10,15.90,15.80,15.95,15.70,140084
2017-04-11,16.50,17.35,17.35,16.30,5375478
2017-04-12,17.80,19.05,19.05,17.65,8201327
2017-04-13,19.80,20.50,20.95,19.55,9123622
2017-04-14,20.10,19.90,20.75,19.90,3004500
2017-04-17,18.75,17.95,19.25,17.95,4398484
2017-04-18,18.00,18.15,18.80,17.50,2917631
2017-04-19,18.00,18.50,19.00,17.80,1841018
2017-04-20,18.30,17.60,18.80,17.60,1225619
2017-04-21,18.00,17.90,18.15,17.60,527163
2017-04-24,18.00,17.65,18.10,17.60,358224
2017-04-25,17.75,18.05,18.40,17.70,705003
2017-04-26,18.20,17.70,18.30,17.65,623491
2017-04-27,17.75,17.50,18.00,17.45,576518
2017-04-28,17.55,16.85,17.65,16.85,896600
2017-05-02,16.90,16.45,17.05,16.40,927556
2017-05-03,16.55,18.05,18.05,16.55,1532408
2017-05-04,18.70,17.75,18.80,17.50,2355681
2017-05-05,17.70,17.20,17.70,17.15,522279
2017-05-08,17.10,17.20,17.85,17.00,516385
2017-05-09,17.30,16.80,17.50,16.65,334795
2017-05-10,17.10,17.10,17.25,17.00,186900
2017-05-11,16.50,16.50,16.85,16.50,687673
2017-05-12,16.50,16.55,16.85,16.50,218025
2017-05-15,16.60,16.55,16.75,16.50,227359
2017-05-16,16.70,16.10,16.80,15.95,542006
2017-05-17,16.10,16.10,16.30,16.10,202200
2017-05-18,16.15,17.70,17.70,16.10,1445681
2017-05-19,17.50,17.05,17.60,17.05,845500
2017-05-22,17.35,17.20,17.40,17.00,289772
2017-05-23,17.25,17.25,17.50,17.20,230572
2017-05-24,17.35,17.30,17.50,17.25,137066
2017-05-25,17.60,17.05,17.60,17.00,213600
2017-05-26,17.20,17.15,17.30,17.05,167003
2017-05-31,17.25,16.90,17.25,16.90,147077
2017-06-01,17.00,16.90,17.10,16.80,166922
2017-06-02,17.00,17.45,17.50,17.00,279638
2017-06-03,17.50,17.30,17.60,17.30,73057
2017-06-05,17.30,17.20,17.40,17.20,118005
2017-06-06,17.20,17.05,17.20,17.00,93102
2017-06-07,16.95,17.10,17.15,16.95,98234
2017-06-08,17.25,17.20,17.40,17.10,119570
2017-06-09,17.20,17.50,18.60,17.20,1197280
2017-06-12,17.90,19.20,19.20,17.60,2671146
2017-06-13,19.60,18.55,19.65,18.45,1570509
2017-06-14,18.70,18.00,18.70,17.65,585633
2017-06-15,18.00,18.05,18.20,17.70,381384
2017-06-16,18.05,18.15,18.35,17.85,219066
2017-06-19,18.20,19.00,19.35,18.20,1371182
2017-06-20,19.25,18.70,19.40,18.65,673004
2017-06-21,18.65,18.95,18.95,18.65,196914
2017-06-22,18.95,19.35,20.30,18.90,1478400
2017-06-23,19.50,19.00,19.75,18.85,617381
2017-06-26,19.10,18.60,19.60,18.60,611639
2017-06-27,18.60,18.60,18.90,18.50,275202
2017-06-28,18.75,18.65,19.00,18.55,181200
2017-06-29,18.85,18.65,19.20,18.65,367078
2017-06-30,18.65,18.30,19.00,18.25,464109
2017-07-03,18.30,18.25,18.55,18.10,273008
2017-07-04,18.45,18.30,18.45,18.25,156410
2017-07-05,18.50,19.10,19.25,18.35,430358
2017-07-06,18.90,19.05,19.15,18.80,100514
2017-07-07,19.00,18.85,19.00,18.70,93066
2017-07-10,18.80,18.90,19.10,18.80,171366
2017-07-11,19.25,18.95,19.55,18.90,702365
2017-07-12,19.20,18.85,19.20,18.70,360412
2017-07-13,19.00,18.95,19.05,18.70,247499
2017-07-14,18.85,18.85,19.00,18.80,84000
2017-07-17,19.00,18.65,19.05,18.65,218000
2017-07-18,18.65,18.15,18.70,18.15,278585
2017-07-19,18.10,18.30,18.60,18.10,261525
2017-07-20,18.35,18.25,18.55,18.20,150200
2017-07-21,18.45,18.20,18.45,18.15,118701
2017-07-24,18.30,18.70,18.85,18.20,343355
2017-07-25,18.80,18.65,18.95,18.50,364128
2017-07-26,18.00,18.05,18.40,17.95,243001
2017-07-27,18.20,18.10,18.20,18.05,123589
2017-07-28,18.15,17.80,18.20,17.80,123000
2017-07-31,17.85,17.85,18.00,17.80,163005
2017-08-01,18.00,17.95,18.00,17.80,134001
2017-08-02,18.00,18.25,18.45,18.00,213645
2017-08-03,18.30,19.05,19.55,18.30,890145
2017-08-04,19.15,19.15,19.80,19.10,873907
2017-08-07,19.10,20.20,20.20,19.05,680200
2017-08-08,22.00,22.20,22.20,21.45,2697929
2017-08-09,23.00,23.20,24.10,23.00,6298073
2017-08-10,23.45,24.65,25.20,22.75,5198136
2017-08-11,27.10,27.10,27.10,27.10,1254278
2017-08-14,29.80,29.80,29.80,29.80,4596488
2017-08-15,27.70,28.55,30.80,27.70,9875037
2017-08-16,28.10,29.30,29.80,28.10,2106389
2017-08-17,30.15,30.20,31.00,29.80,2599199
2017-08-18,29.80,33.20,33.20,29.50,2975075
2017-08-21,33.80,30.65,33.80,30.65,2900580
2017-08-22,30.80,29.80,31.40,29.20,2425100
2017-08-23,30.40,30.95,31.00,30.10,1700097
2017-08-24,31.00,30.30,31.00,30.05,1273200
